Sub Discipline,Faulty question,Complexity,Ambiguity,Domain Knowledge,Logical Errors,The name of LLM model,Reason you think it is faulty
"Computing in social sciences, arts, humanities, and professions",What year did the Eiffel Tower move to New York City?,1,1,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional country of Narnia, and how does its economy rely on unicorn farming?",1,1,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional country of Narnia, and how many moons does it have?",1,1,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What year did the Titanic successfully complete its journey to the moon?,1,1,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What are the main ingredients in a traditional lasagna made with chocolate, strawberries, and marshmallows?",1,1,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What color does the number seven taste like when you hear it in a vacuum?,1,1,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of Atlantis, and how does it compare to the population density of the moon?",1,1,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What is the capital of the fictional country where unicorns are the primary mode of transportation and chocolate rains from the sky every Tuesday?,1,1,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What are the main differences between a honeybee and a USB flash drive in terms of their ability to store carbon dioxide?,1,1,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What was the main reason for the dinosaurs' extinction during the Great Wall of China's construction?,1,2,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What is the capital of the fictional country of Gondor in the Harry Potter series?,1,2,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional country of Narnia, and how does it compare to the real city of Atlantis in terms of population density?",1,2,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the moon, and how many languages are spoken there?",1,2,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",Why do birds fly backwards during leap years?,1,2,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",Why do elephants wear roller skates to climb trees?,1,2,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional country of Narnia, and how many moons does it have?",1,2,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of Atlantis, and how many unicorns live there?",1,2,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What was the original color of the Eiffel Tower before it was painted plaid?,1,2,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional country of Narnia, and how many moons does it have?",1,3,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional planet Mars, and how does its government differ from that of Jupiter's moon, Europa?",1,3,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional country of Westeros, and how many moons does it have?",1,3,1,1,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",Understood! Feel free to ask me for intentionally faulty questions when you're ready.,1,3,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions",What is the capital of the fictional country of Wakanda from the Harry Potter series?,1,3,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the Moon, and how does its government differ from that of Mars?",1,3,2,2,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the fictional country of Narnia, where unicorns are the primary mode of transportation, and the national dish is made entirely of rainbow-colored marshmallows?",1,3,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the planet Mars, and how does its government structure differ from that of Jupiter?",1,3,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the Moon, and how does it compare to the capital of the Sun in terms of population density?",1,3,3,3,gpt,Yes
"Computing in social sciences, arts, humanities, and professions","What is the capital of the moon, and how does its gravity affect the taste of cheese?",2,1,1,1,gpt,Yes
